Freq.	V(n018)*10
1.21419488439505e+02	(-4.24281657189918e+01dB,8.90771321868533e+01°)
1.22264027769207e+02	(-4.23679674593073e+01dB,8.90707133820625e+01°)
1.23114441334492e+02	(-4.23077693076594e+01dB,8.90642499361757e+01°)
1.23970769993899e+02	(-4.22475712655563e+01dB,8.90577415387993e+01°)
1.24833054890161e+02	(-4.21873733345270e+01dB,8.90511878773832e+01°)
1.25701337452183e+02	(-4.21271755161221e+01dB,8.90445886372054e+01°)
1.26575659397028e+02	(-4.20669778119136e+01dB,8.90379435013574e+01°)
1.27456062731927e+02	(-4.20067802234956e+01dB,8.90312521507288e+01°)
1.28342589756291e+02	(-4.19465827524844e+01dB,8.90245142639923e+01°)
1.29235283063750e+02	(-4.18863854005188e+01dB,8.90177295175880e+01°)
1.30134185544194e+02	(-4.18261881692608e+01dB,8.90108975857081e+01°)
1.31039340385837e+02	(-4.17659910603951e+01dB,8.90040181402812e+01°)
1.31950791077290e+02	(-4.17057940756302e+01dB,8.89970908509569e+01°)
1.32868581409652e+02	(-4.16455972166984e+01dB,8.89901153850898e+01°)
1.33792755478612e+02	(-4.15854004853563e+01dB,8.89830914077234e+01°)
1.34723357686569e+02	(-4.15252038833848e+01dB,8.89760185815745e+01°)
1.35660432744768e+02	(-4.14650074125898e+01dB,8.89688965670168e+01°)
1.36604025675440e+02	(-4.14048110748024e+01dB,8.89617250220648e+01°)
1.37554181813975e+02	(-4.13446148718791e+01dB,8.89545036023572e+01°)
1.38510946811093e+02	(-4.12844188057026e+01dB,8.89472319611409e+01°)
1.39474366635041e+02	(-4.12242228781817e+01dB,8.89399097492540e+01°)
1.40444487573800e+02	(-4.11640270912518e+01dB,8.89325366151092e+01°)
1.41421356237310e+02	(-4.11038314468753e+01dB,8.89251122046772e+01°)
1.42405019559708e+02	(-4.10436359470423e+01dB,8.89176361614697e+01°)
1.43395524801583e+02	(-4.09834405937703e+01dB,8.89101081265222e+01°)
1.44392919552250e+02	(-4.09232453891051e+01dB,8.89025277383771e+01°)
1.45397251732032e+02	(-4.08630503351211e+01dB,8.88948946330662e+01°)
1.46408569594563e+02	(-4.08028554339217e+01dB,8.88872084440935e+01°)
1.47426921729111e+02	(-4.07426606876394e+01dB,8.88794688024175e+01°)
1.48452357062906e+02	(-4.06824660984368e+01dB,8.88716753364340e+01°)
1.49484924863494e+02	(-4.06222716685064e+01dB,8.88638276719576e+01°)
1.50524674741107e+02	(-4.05620774000716e+01dB,8.88559254322047e+01°)
1.51571656651040e+02	(-4.05018832953865e+01dB,8.88479682377748e+01°)
1.52625920896057e+02	(-4.04416893567369e+01dB,8.88399557066329e+01°)
1.53687518128802e+02	(-4.03814955864404e+01dB,8.88318874540909e+01°)
1.54756499354240e+02	(-4.03213019868471e+01dB,8.88237630927895e+01°)
1.55832915932101e+02	(-4.02611085603396e+01dB,8.88155822326794e+01°)
1.56916819579351e+02	(-4.02009153093341e+01dB,8.88073444810032e+01°)
1.58008262372676e+02	(-4.01407222362803e+01dB,8.87990494422759e+01°)
1.59107296750985e+02	(-4.00805293436621e+01dB,8.87906967182670e+01°)
1.60213975517925e+02	(-4.00203366339982e+01dB,8.87822859079804e+01°)
1.61328351844426e+02	(-3.99601441098423e+01dB,8.87738166076363e+01°)
1.62450479271248e+02	(-3.98999517737840e+01dB,8.87652884106513e+01°)
1.63580411711557e+02	(-3.98397596284487e+01dB,8.87567009076191e+01°)
1.64718203453516e+02	(-3.97795676764986e+01dB,8.87480536862912e+01°)
