Freq.	V(n027)*10
1.22264027769207e+02	(-4.23680785526905e+01dB,8.90517702010881e+01°)
1.23114441334492e+02	(-4.23078819495457e+01dB,8.90451753892422e+01°)
1.23970769993899e+02	(-4.22476854774973e+01dB,8.90385347204525e+01°)
1.24833054890161e+02	(-4.21874891383734e+01dB,8.90318478760439e+01°)
1.25701337452183e+02	(-4.21272929340277e+01dB,8.90251145351308e+01°)
1.26575659397028e+02	(-4.20670968663397e+01dB,8.90183343746017e+01°)
1.27456062731927e+02	(-4.20069009372149e+01dB,8.90115070691040e+01°)
1.28342589756291e+02	(-4.19467051485856e+01dB,8.90046322910284e+01°)
1.29235283063750e+02	(-4.18865095024108e+01dB,8.89977097104933e+01°)
1.30134185544194e+02	(-4.18263140006769e+01dB,8.89907389953293e+01°)
1.31039340385837e+02	(-4.17661186453980e+01dB,8.89837198110633e+01°)
1.31950791077290e+02	(-4.17059234386162e+01dB,8.89766518209028e+01°)
1.32868581409652e+02	(-4.16457283824020e+01dB,8.89695346857196e+01°)
1.33792755478612e+02	(-4.15855334788548e+01dB,8.89623680640340e+01°)
1.34723357686569e+02	(-4.15253387301032e+01dB,8.89551516119983e+01°)
1.35660432744768e+02	(-4.14651441383055e+01dB,8.89478849833809e+01°)
1.36604025675440e+02	(-4.14049497056499e+01dB,8.89405678295493e+01°)
1.37554181813975e+02	(-4.13447554343553e+01dB,8.89331997994542e+01°)
1.38510946811093e+02	(-4.12845613266714e+01dB,8.89257805396124e+01°)
1.39474366635041e+02	(-4.12243673848791e+01dB,8.89183096940901e+01°)
1.40444487573800e+02	(-4.11641736112912e+01dB,8.89107869044862e+01°)
1.41421356237310e+02	(-4.11039800082528e+01dB,8.89032118099152e+01°)
1.42405019559708e+02	(-4.10437865781413e+01dB,8.88955840469901e+01°)
1.43395524801583e+02	(-4.09835933233675e+01dB,8.88879032498052e+01°)
1.44392919552250e+02	(-4.09234002463758e+01dB,8.88801690499188e+01°)
1.45397251732032e+02	(-4.08632073496443e+01dB,8.88723810763356e+01°)
1.46408569594563e+02	(-4.08030146356860e+01dB,8.88645389554894e+01°)
1.47426921729111e+02	(-4.07428221070485e+01dB,8.88566423112249e+01°)
1.48452357062906e+02	(-4.06826297663152e+01dB,8.88486907647807e+01°)
1.49484924863494e+02	(-4.06224376161053e+01dB,8.88406839347705e+01°)
1.50524674741107e+02	(-4.05622456590743e+01dB,8.88326214371659e+01°)
1.51571656651040e+02	(-4.05020538979150e+01dB,8.88245028852775e+01°)
1.52625920896057e+02	(-4.04418623353574e+01dB,8.88163278897370e+01°)
1.53687518128802e+02	(-4.03816709741697e+01dB,8.88080960584787e+01°)
1.54756499354240e+02	(-4.03214798171583e+01dB,8.87998069967209e+01°)
1.55832915932101e+02	(-4.02612888671691e+01dB,8.87914603069475e+01°)
1.56916819579351e+02	(-4.02010981270872e+01dB,8.87830555888889e+01°)
1.58008262372676e+02	(-4.01409075998381e+01dB,8.87745924395031e+01°)
1.59107296750985e+02	(-4.00807172883878e+01dB,8.87660704529571e+01°)
1.60213975517925e+02	(-4.00205271957438e+01dB,8.87574892206070e+01°)
1.61328351844426e+02	(-3.99603373249553e+01dB,8.87488483309796e+01°)
1.62450479271248e+02	(-3.99001476791139e+01dB,8.87401473697520e+01°)
1.63580411711557e+02	(-3.98399582613542e+01dB,8.87313859197330e+01°)
1.64718203453516e+02	(-3.97797690748546e+01dB,8.87225635608426e+01°)
1.65863909162889e+02	(-3.97195801228375e+01dB,8.87136798700928e+01°)
1.67017583885675e+02	(-3.96593914085701e+01dB,8.87047344215674e+01°)
1.68179283050744e+02	(-3.95992029353652e+01dB,8.86957267864019e+01°)
1.69349062472506e+02	(-3.95390147065816e+01dB,8.86866565327631e+01°)
1.70526978353592e+02	(-3.94788267256248e+01dB,8.86775232258294e+01°)
1.71713087287552e+02	(-3.94186389959476e+01dB,8.86683264277696e+01°)
1.72907446261574e+02	(-3.93584515210510e+01dB,8.86590656977226e+01°)
1.74110112659226e+02	(-3.92982643044845e+01dB,8.86497405917768e+01°)
