Freq.	V(n045)*10
2.46228882668986e+02	(-3.62897716755306e+01dB,8.80324248926651e+01°)
2.47941539987800e+02	(-3.62296098899125e+01dB,8.80187473582638e+01°)
2.49666109780325e+02	(-3.61694487195329e+01dB,8.80049748569233e+01°)
2.51402674904368e+02	(-3.61092881729256e+01dB,8.79911067315897e+01°)
2.53151318794059e+02	(-3.60491282587419e+01dB,8.79771423207113e+01°)
2.54912125463855e+02	(-3.59889689857526e+01dB,8.79630809582083e+01°)
2.56685179512583e+02	(-3.59288103628489e+01dB,8.79489219734434e+01°)
2.58470566127501e+02	(-3.58686523990449e+01dB,8.79346646911915e+01°)
2.60268371088389e+02	(-3.58084951034787e+01dB,8.79203084316091e+01°)
2.62078680771675e+02	(-3.57483384854141e+01dB,8.79058525102039e+01°)
2.63901582154582e+02	(-3.56881825542425e+01dB,8.78912962378045e+01°)
2.65737162819305e+02	(-3.56280273194847e+01dB,8.78766389205288e+01°)
2.67585510957225e+02	(-3.55678727907923e+01dB,8.78618798597533e+01°)
2.69446715373141e+02	(-3.55077189779499e+01dB,8.78470183520822e+01°)
2.71320865489537e+02	(-3.54475658908766e+01dB,8.78320536893152e+01°)
2.73208051350882e+02	(-3.53874135396280e+01dB,8.78169851584166e+01°)
2.75108363627952e+02	(-3.53272619343977e+01dB,8.78018120414830e+01°)
2.77021893622188e+02	(-3.52671110855198e+01dB,8.77865336157117e+01°)
2.78948733270084e+02	(-3.52069610034702e+01dB,8.77711491533682e+01°)
2.80888975147603e+02	(-3.51468116988690e+01dB,8.77556579217542e+01°)
2.82842712474622e+02	(-3.50866631824818e+01dB,8.77400591831748e+01°)
2.84810039119418e+02	(-3.50265154652226e+01dB,8.77243521949056e+01°)
2.86791049603169e+02	(-3.49663685581549e+01dB,8.77085362091604e+01°)
2.88785839104503e+02	(-3.49062224724942e+01dB,8.76926104730574e+01°)
2.90794503464065e+02	(-3.48460772196101e+01dB,8.76765742285865e+01°)
2.92817139189129e+02	(-3.47859328110280e+01dB,8.76604267125753e+01°)
2.94853843458224e+02	(-3.47257892584315e+01dB,8.76441671566560e+01°)
2.96904714125813e+02	(-3.46656465736646e+01dB,8.76277947872309e+01°)
2.98969849726991e+02	(-3.46055047687337e+01dB,8.76113088254389e+01°)
3.01049349482217e+02	(-3.45453638558097e+01dB,8.75947084871209e+01°)
