Distance_(pixels),Gray_Value
1270,65.9657
1271,64.4902
1272,63.5245
1273,62.0490
1274,60.7304
1275,59.4657
1276,58.3284
1277,57.1765
1278,56.0392
1279,54.9363
1280,53.6618
1281,52.3971
1282,51.6373
1283,50.4902
1284,49.0833
1285,47.7892
1286,46.1912
1287,44.7255
1288,42.9559
1289,41.0588
1290,39.3725
1291,37.9902
1292,36.7206
1293,34.9069
1294,33.3088
1295,33.3382
1296,31.3382
1297,30.2647
1298,29.5980
1299,28.8186
1300,27.6520
1301,26.7892
1302,26.1814
1303,25.4853
1304,24.8824
1305,24.1667
1306,23.7206
1307,23.0931
1308,22.7255
1309,21.9804
1310,21.4020
1311,21.0637
1312,20.4951
1313,20.1765
1314,19.5784
1315,19.2598
1316,18.9020
1317,18.4608
1318,18.2598
1319,17.7696
1320,17.5392
1321,17.1618
1322,16.8873
1323,16.5980
1324,16.3088
1325,16.0686
1326,15.8480
1327,15.5833
1328,15.1912
1329,14.9755
1330,14.7500
1331,14.6127
1332,14.4167
1333,14.1373
1334,14.0637
1335,14.0196
1336,13.6569
1337,13.5931
1338,13.5588
1339,13.1569
1340,13.1569
1341,13.2206
1342,12.8333
1343,12.9167
1344,12.7647
1345,12.7010
1346,12.5882
1347,12.4804
1348,12.3235
1349,12.3333
1350,12.2794
1351,12.1618
1352,12.1029
1353,12.1814
1354,11.9804
1355,11.8284
1356,11.8039
1357,11.8039
1358,11.8971
1359,11.6471
1360,11.6765
1361,11.6422
1362,11.5931
1363,11.5049
1364,11.5882
1365,11.5980
1366,11.6225
1367,11.4755
1368,11.4216
1369,11.4608
1370,11.5441
1371,11.5490
1372,11.4461
1373,11.4461
1374,11.6324
1375,11.4853
1376,11.5049
1377,11.6912
1378,11.6275
1379,11.5931
1380,11.6373
1381,11.7059
1382,11.7941
1383,11.5784
1384,11.5392
1385,11.6422
1386,11.7157
1387,11.5882
1388,11.7500
1389,11.6814
1390,11.6961
1391,11.7990
1392,11.9118
1393,12.0392
1394,11.8333
1395,11.9314
1396,12.1961
1397,12.2451
1398,12.2402
1399,12.4363
1400,12.5490
1401,12.7451
1402,12.7647
1403,12.7647
1404,13.0049
1405,13.1912
1406,13.1471
1407,13.1912
1408,13.4706
1409,13.4706
1410,13.6225
1411,13.8676
1412,13.9167
1413,14.0980
1414,14.3529
1415,14.4755
1416,14.7745
1417,14.9069
1418,15.2255
1419,15.3824
1420,15.6078
1421,15.8873
1422,16.1912
1423,16.3382
1424,16.7402
1425,17.0441
1426,17.3529
1427,17.5294
1428,17.9853
1429,18.1029
1430,18.8039
1431,19.0098
1432,19.4853
1433,19.9314
1434,20.5539
1435,20.9069
1436,21.4118
1437,21.8578
1438,22.7892
1439,23.0392
1440,24.0049
1441,24.6667
1442,25.3578
1443,26.1814
1444,26.7794
1445,27.5490
1446,28.6127
1447,29.5098
1448,30.7402
1449,31.5098
1450,32.6520
1451,33.8971
1452,35.3627
1453,36.6520
1454,38.1225
1455,39.8186
1456,41.6078
1457,42.9902
1458,44.3775
1459,45.5000
1460,46.7745
1461,48.0882
1462,49.2843
1463,50.5147
1464,51.7745
1465,53.1765
1466,54.5882
1467,55.8382
1468,57.2843
1469,58.5000
1470,60.1961
1471,61.3873
1472,62.9853
1473,64.4608
1474,65.7059
1475,67.5049
1476,68.7843
1477,70.2010
1478,71.4853
1479,72.6912
1480,74.0931
1481,75.2206
1482,76.3726
1483,77.2353
1484,78.3873
1485,79.1127
1486,79.9412
1487,80.3774
1488,80.8039
1489,81.0490
1490,81.3284
1491,81.0980
1492,80.9363
1493,80.6765
1494,80.3480
1495,79.5147
1496,78.8824
1497,78.1127
1498,76.8333
1499,75.4755
1500,74.4510
1501,72.8480
1502,71.5000
1503,70.1373
1504,68.8971
1505,67.3529
1506,66.1274
1507,64.6569
1508,63.0588
1509,61.8529
1510,60.6127
1511,59.4559
1512,58.1863
1513,56.9412
1514,55.6275
1515,54.4853
1516,53.6275
1517,52.2598
1518,51.0098
1519,49.8039
1520,48.7745
1521,47.4755
1522,46.0196
1523,44.4069
1524,42.9559
1525,41.0735
1526,39.4853
1527,37.6863
1528,36.0735
1529,34.8529
1530,33.3382
1531,32.1716
1532,31.0294
1533,30.2598
1534,29.2892
1535,28.5049
1536,27.4706
1537,26.7696
1538,26.1127
1539,25.5049
1540,24.6667
1541,24.1324
1542,23.4412
1543,22.9167
1544,22.2059
1545,21.6716
1546,21.1569
1547,20.8431
1548,20.4412
1549,19.9559
1550,19.6078
1551,19.3480
1552,18.8333
1553,18.5735
1554,18.1765
1555,17.9020
1556,17.6029
1557,17.3578
1558,17.1078
1559,16.9167
1560,16.5637
1561,16.2108
1562,15.8971
1563,15.6667
1564,15.4755
1565,15.3039
1566,15.2304
1567,15.0882
1568,14.6863
1569,14.4559
1570,14.4412
1571,14.1225
1572,14.0098
1573,13.7990
1574,13.6471
1575,13.5392
1576,13.2598
1577,13.0833
1578,13.0637
1579,12.8186
1580,12.7745
1581,12.6667
1582,12.5049
1583,12.4804
1584,12.2745
1585,12.2402
1586,12.1324
1587,12.0343
1588,11.9657
1589,11.8922
1590,11.8529
1591,11.8578
1592,11.7843
1593,11.7353
1594,11.8186
1595,11.6225
1596,11.5784
1597,11.4510
1598,11.4020
1599,11.4559
1600,11.4069
1601,11.4216
1602,11.4461
1603,11.4657
1604,11.4069
1605,11.4216
1606,11.3725
1607,11.3284
1608,11.5392
1609,11.3627
1610,11.4657
1611,11.3235
1612,11.4118
1613,11.4951
1614,11.4510
1615,11.4902
1616,11.4216
1617,11.4461
1618,11.4412
1619,11.5196
1620,11.5245
1621,11.5294
1622,11.5784
1623,11.6765
1624,11.6373
1625,11.5539
1626,11.6275
1627,11.6520
1628,11.5735
1629,11.7549
1630,11.6471
1631,11.8039
1632,11.8971
1633,11.9020
1634,12.0735
1635,12.1765
1636,12.3137
1637,12.3284
1638,12.2059
1639,12.5049
1640,12.4608
1641,12.4510
1642,12.8382
1643,12.8627
1644,12.8775
1645,13.0294
1646,13.2990
1647,13.2892
1648,13.4853
1649,13.8137
