Distance_(pixels),Gray_Value
601,63.9559
602,63.5833
603,63.0343
604,62.4265
605,61.9363
606,61.4706
607,60.8824
608,60.5343
609,59.6373
610,59.2353
611,58.7304
612,58.1961
613,57.7500
614,57.1961
615,56.5049
616,55.8676
617,55.5098
618,55.0686
619,54.5735
620,54.0196
621,53.6275
622,52.9069
623,52.5931
624,51.8088
625,51.4902
626,51.0784
627,50.6422
628,50.1422
629,49.6029
630,49.0637
631,48.6373
632,47.7696
633,47.2010
634,46.7794
635,46.6225
636,46.2059
637,45.8873
638,45.4118
639,45.4167
640,45.0441
641,44.7010
642,44.5245
643,44.0441
644,43.8971
645,43.8284
646,43.7892
647,43.6471
648,43.4755
649,43.1520
650,43.2304
651,42.9951
652,42.8480
653,42.8529
654,42.5539
655,43.0539
656,42.8627
657,42.9853
658,43.1863
659,43.2402
660,43.6078
661,43.7157
662,43.9412
663,44.1814
664,44.1127
665,44.5441
666,44.5882
667,44.8578
668,45.2255
669,45.5931
670,45.9804
671,46.6667
672,46.8088
673,47.2108
674,47.4020
675,47.9755
676,48.4755
677,48.7304
678,49.1029
679,49.3578
680,49.8971
681,50.2108
682,50.5196
683,50.8627
684,51.5098
685,51.7353
686,52.2745
687,52.6225
688,53.0392
689,53.5588
690,54.0245
691,54.3971
692,54.9118
693,55.3578
694,55.9118
695,56.1667
696,56.8725
697,57.2157
698,57.6520
699,58.1176
700,58.8431
701,59.1961
702,59.5392
703,60.1422
704,60.4510
705,61.0049
706,61.7206
707,62.0343
708,62.6765
709,63.0637
710,63.5784
711,64.0490
712,64.4902
713,64.9510
714,65.5686
715,65.8235
716,66.4608
717,66.5441
718,67.1471
719,67.4412
720,67.8088
721,68.2941
722,68.5343
723,68.9755
724,69.3627
725,69.6667
726,70.0490
727,70.4216
728,70.7696
729,70.9363
730,71.4167
731,71.6961
732,72.3088
733,72.8382
734,73.3922
735,73.7255
736,74.4461
737,75.0686
738,75.7794
739,76.5637
740,77.4559
741,78.5833
742,79.4216
743,80.4167
744,81.6814
745,82.9216
746,84.5490
747,85.7598
748,87.1814
749,88.7794
750,90.2304
751,91.9314
752,93.2353
753,94.8333
754,96.3088
755,97.8088
756,99.3235
757,100.4363
758,101.8578
759,102.9412
760,104.5343
761,105.2598
762,105.8235
763,106.6471
764,106.7451
765,106.9559
766,106.8284
767,106.6176
768,106.2745
769,105.6863
770,104.9363
771,104.0294
772,102.8578
773,101.8382
774,100.6471
775,99.0784
776,97.3235
777,96.0049
778,94.3971
779,92.9020
780,91.6127
781,90.1667
782,88.9608
783,87.4853
784,86.3922
785,85.0980
786,83.9755
787,83.2059
788,82.4314
789,81.6961
790,80.8922
791,80.0882
792,79.5245
793,79.1667
794,78.4902
795,77.9510
796,77.1029
797,76.9461
798,76.1373
799,75.8971
800,75.4412
801,74.9510
802,74.7059
803,74.5294
804,73.9559
805,73.7549
806,73.3284
807,73.1226
808,73.0196
809,72.6618
810,72.4412
811,72.1226
812,71.7745
813,71.6422
814,71.2353
815,70.8873
816,70.5882
817,70.0980
818,69.5784
819,69.3088
820,69.0245
821,68.4265
822,68.2353
823,67.7353
824,67.4069
825,66.8578
826,66.3039
827,65.7010
828,65.3578
829,64.8774
830,64.4216
831,63.7500
832,63.3039
833,62.8971
834,62.4069
835,61.8676
836,61.4216
837,60.7353
838,60.2500
839,59.8627
840,59.3431
841,58.7696
842,58.1814
843,57.7353
844,57.2843
845,56.8235
846,56.3676
847,55.8529
848,55.1814
849,55.0686
850,54.2353
851,53.8676
852,53.7402
853,53.1275
854,52.5686
855,52.3039
856,51.8333
857,51.5735
858,51.2598
859,50.9461
860,50.6373
861,49.9608
862,49.6569
863,49.4951
864,49.0686
865,48.6716
866,48.5490
867,48.3873
868,47.9706
869,47.7941
870,47.2304
871,47.1422
872,46.6078
873,46.2696
874,46.3775
875,46.4265
876,46.3333
877,46.2157
878,45.8333
879,46.0882
880,46.0147
881,46.2304
882,46.0441
883,46.0098
884,45.9657
885,46.0784
886,46.1765
887,46.2500
888,46.3725
889,46.6422
890,46.8775
891,46.5980
892,47.0147
893,47.1912
894,47.6275
895,47.7451
896,47.8725
897,48.1618
898,48.3922
899,48.5490
900,48.9755
901,49.2255
902,49.2010
903,49.4118
904,50.1324
905,50.4706
906,50.9167
907,51.1275
908,51.2402
909,51.4412
910,52.0196
911,52.4804
912,52.7696
913,53.3186
914,53.5294
915,53.9755
916,54.3284
917,54.4167
918,54.8578
919,55.0147
920,55.7255
921,56.3676
922,56.6176
923,57.1569
924,57.6225
925,58.1078
926,58.5686
927,59.1667
928,59.6029
929,60.1961
930,60.7745
931,61.1716
932,61.5588
933,61.9804
934,62.6667
935,63.1324
936,63.5392
937,64.1618
938,64.6127
939,64.9216
940,65.4510
941,66.1176
942,66.2745
943,66.8333
944,67.1863
945,67.5441
946,67.9608
947,68.1765
948,68.8627
949,69.0392
950,69.3824
951,69.8382
952,70.1274
953,70.5098
954,70.6226
955,70.9265
956,71.3922
957,71.6961
958,72.0735
959,72.2941
960,72.7745
961,73.0833
962,73.7990
963,74.2353
964,75.0637
965,75.6471
966,76.0686
967,76.9363
968,77.7794
969,78.5392
970,79.6078
971,80.4608
972,81.5882
973,83.1078
974,84.2500
975,85.4216
976,86.7843
977,88.3039
978,89.8137
979,91.1520
980,92.9902
981,94.2941
982,95.9657
983,97.5686
984,99.0637
985,100.6912
986,101.6520
987,103.0147
988,104.0637
989,105.2451
990,106.1814
991,106.9755
992,107.6422
993,107.8873
994,108.4951
995,108.3971
996,108.2549
997,108.0490
998,107.3627
999,106.6765
1000,105.8676
1001,104.8186
1002,103.5588
1003,101.9363
1004,100.7010
1005,99.9265
1006,98.1422
1007,96.4412
1008,94.8088
1009,93.3284
1010,91.7500
1011,90.1226
1012,88.7990
1013,87.8529
1014,86.5882
