X,Value,ERR
2944,180.048,10.5512
2945,177.238,10.6499
2946,174.873,10.6886
2947,171.159,10.7757
2948,167.921,10.7943
2949,163.905,10.7462
2950,159.571,10.6681
2951,155.206,10.6164
2952,149.762,10.4204
2953,142.778,9.9748
2954,136.063,9.4924
2955,129.540,8.9473
2956,122.556,8.4861
2957,116.841,8.0960
2958,111.222,7.7226
2959,105.937,7.3092
2960,100.873,6.9493
2961,97.032,6.7183
2962,93.365,6.3998
2963,89.143,6.0745
2964,86.508,5.9160
2965,82.889,5.7117
2966,79.984,5.5154
2967,77.302,5.3428
2968,74.444,5.1267
2969,72.048,4.9376
2970,70.206,4.7589
2971,68.222,4.5706
2972,65.968,4.4577
2973,63.476,4.3051
2974,61.683,4.1454
2975,60.302,4.0491
2976,58.968,3.9568
2977,56.778,3.7847
2978,55.619,3.7016
2979,54.095,3.5959
2980,52.111,3.4291
2981,50.857,3.3620
2982,49.460,3.2314
2983,47.905,3.1453
2984,47.302,3.1072
2985,46.476,3.0289
2986,45.063,2.9330
2987,43.619,2.8124
2988,43.349,2.7857
2989,42.381,2.7747
2990,41.175,2.6335
2991,40.397,2.5786
2992,40.079,2.5846
2993,39.063,2.4855
2994,38.714,2.4563
2995,38.063,2.4330
2996,37.603,2.3753
2997,36.857,2.3492
2998,36.254,2.3037
2999,35.413,2.2190
3000,35.143,2.2407
3001,34.333,2.1737
3002,34.063,2.1263
3003,33.603,2.1324
3004,33.000,2.0379
3005,32.635,2.0320
3006,31.984,1.9890
3007,31.825,1.9940
3008,31.730,1.9279
3009,30.444,1.8777
3010,30.571,1.8942
3011,30.317,1.8695
3012,29.762,1.8204
3013,29.571,1.7929
3014,29.048,1.7977
3015,28.889,1.7695
3016,28.254,1.6809
3017,28.206,1.7253
3018,28.048,1.7223
3019,27.524,1.6768
3020,27.746,1.6826
3021,27.095,1.6271
3022,27.238,1.6419
3023,26.667,1.6199
3024,26.635,1.6173
3025,26.317,1.6099
3026,26.016,1.5699
3027,25.937,1.5763
3028,25.921,1.5937
3029,25.889,1.5607
3030,25.413,1.5461
3031,25.286,1.5454
3032,25.159,1.5158
3033,25.079,1.5286
3034,24.825,1.5150
3035,25.095,1.5256
3036,24.778,1.5014
3037,24.730,1.4790
3038,24.333,1.5071
3039,24.667,1.5225
3040,24.286,1.4973
