X,Value,ERR
2756,60.896,3.0071
2757,60.167,2.9800
2758,58.396,2.9089
2759,57.833,2.9132
2760,56.854,2.8681
2761,55.896,2.7847
2762,54.521,2.6554
2763,54.167,2.6627
2764,53.812,2.6666
2765,52.729,2.5654
2766,52.521,2.5504
2767,52.125,2.5088
2768,51.521,2.4884
2769,51.917,2.5273
2770,50.812,2.5104
2771,50.542,2.4675
2772,50.312,2.4787
2773,49.688,2.4511
2774,49.479,2.4291
2775,49.833,2.4332
2776,48.833,2.3943
2777,49.104,2.4359
2778,49.229,2.3970
2779,49.229,2.3807
2780,48.938,2.3978
2781,48.438,2.3679
2782,48.125,2.3851
2783,47.979,2.3451
2784,48.479,2.4033
2785,47.875,2.3296
2786,48.062,2.3980
2787,48.562,2.3055
2788,47.771,2.3939
2789,48.667,2.4224
2790,48.708,2.3859
2791,48.792,2.3879
2792,48.896,2.4512
2793,49.167,2.4865
2794,49.833,2.4571
2795,49.938,2.5381
2796,49.604,2.4973
2797,50.729,2.5775
2798,50.458,2.5840
2799,51.625,2.6191
2800,51.958,2.6151
2801,52.167,2.6660
2802,52.812,2.6844
2803,53.792,2.6843
2804,53.896,2.6943
2805,54.250,2.7241
2806,55.458,2.8214
2807,56.167,2.8380
2808,56.958,2.8720
2809,57.708,2.9607
2810,58.938,2.9962
2811,60.438,3.0584
2812,61.417,3.1081
2813,62.021,3.1372
2814,63.208,3.3173
2815,64.333,3.3139
2816,66.042,3.4150
2817,67.500,3.5232
2818,68.479,3.4938
2819,70.854,3.6413
2820,71.646,3.7098
2821,73.312,3.8429
2822,75.000,3.9186
2823,76.354,4.0142
2824,78.146,4.1054
2825,80.354,4.1398
2826,81.875,4.3330
2827,84.062,4.5055
2828,86.354,4.5550
2829,89.167,4.7065
2830,90.938,4.8396
2831,93.062,4.8388
2832,96.062,5.0747
2833,99.417,5.2989
2834,102.229,5.5252
2835,104.771,5.5974
2836,108.167,5.8234
2837,110.896,5.9384
2838,113.979,6.1899
2839,117.229,6.4170
2840,121.229,6.6045
2841,124.979,6.7907
2842,128.688,6.9892
2843,132.542,7.2369
2844,136.229,7.4559
2845,140.500,7.7591
2846,146.042,8.1298
2847,149.458,8.3004
2848,153.833,8.5013
2849,158.167,8.6851
2850,162.729,8.9653
2851,167.438,9.2310
2852,172.938,9.5434
2853,177.625,9.7225
2854,180.604,9.8986
2855,184.125,9.9662
2856,186.792,9.9914
2857,188.979,9.9735
2858,191.000,9.9475
2859,193.271,9.9143
2860,195.062,9.8134
2861,197.271,9.7400
2862,198.562,9.7014
2863,199.729,9.6523
2864,200.938,9.6036
2865,202.062,9.5021
2866,202.333,9.4449
2867,203.542,9.4557
2868,204.479,9.4239
2869,204.375,9.4363
2870,204.812,9.3623
2871,204.562,9.4120
2872,203.917,9.3818
2873,203.229,9.4618
2874,202.062,9.3667
2875,201.042,9.4644
2876,199.542,9.4815
2877,198.271,9.4793
2878,196.104,9.5792
2879,193.583,9.5878
2880,191.229,9.5752
2881,187.917,9.5926
2882,183.812,9.3818
2883,179.083,9.2209
2884,173.812,8.9668
2885,168.188,8.6868
2886,161.646,8.3710
2887,156.458,8.0220
2888,150.750,7.7970
2889,145.604,7.5678
2890,140.062,7.1306
2891,135.021,6.9438
2892,130.312,6.7470
2893,125.667,6.4141
2894,121.958,6.3250
2895,118.917,6.2093
2896,114.833,5.9770
2897,111.542,5.7777
2898,108.750,5.6830
2899,106.062,5.5139
2900,103.208,5.4316
2901,101.333,5.3157
2902,99.812,5.1489
2903,99.750,5.1506
2904,98.146,5.1508
2905,98.021,5.1307
2906,97.146,5.1022
2907,96.354,5.1170
2908,95.896,5.0261
2909,95.396,5.0437
2910,94.979,4.9814
2911,95.354,5.0064
2912,95.125,4.9676
2913,94.521,4.8279
2914,94.604,4.8837
2915,94.604,4.8742
2916,94.562,4.9048
2917,95.354,4.9575
2918,95.500,4.9677
2919,95.750,4.9838
2920,96.292,5.0410
2921,97.125,5.0469
2922,97.729,5.0338
2923,98.708,5.1717
2924,99.521,5.1580
2925,101.125,5.2354
2926,102.146,5.2958
2927,103.167,5.3323
2928,104.521,5.3964
2929,106.458,5.5782
2930,108.729,5.7706
2931,110.000,5.7624
2932,111.667,5.8760
2933,113.688,5.9690
2934,116.271,6.0827
2935,117.667,6.1677
2936,120.354,6.4595
2937,122.417,6.5352
2938,125.396,6.6368
2939,127.396,6.7555
2940,131.146,6.9577
2941,133.938,7.1801
2942,137.438,7.3591
2943,140.479,7.5477
2944,143.458,7.7622
2945,147.438,7.9238
2946,151.479,8.1027
2947,156.083,8.3602
2948,159.521,8.6874
2949,162.604,8.8361
2950,167.542,9.2110
2951,172.688,9.4908
2952,176.625,9.5443
2953,180.375,9.7609
2954,183.875,9.8620
2955,186.583,9.8807
2956,188.688,9.8947
2957,190.646,9.7966
2958,192.479,9.7548
2959,193.917,9.7162
2960,195.229,9.7132
2961,197.146,9.6099
2962,198.021,9.5959
2963,199.354,9.5080
2964,199.958,9.5251
2965,200.896,9.5241
2966,201.604,9.4259
2967,201.771,9.4476
2968,202.333,9.3758
2969,202.750,9.3456
2970,202.208,9.3038
2971,201.458,9.3705
2972,201.083,9.3951
2973,199.812,9.3879
2974,198.812,9.3951
2975,197.500,9.3932
2976,194.917,9.4502
2977,193.542,9.3708
2978,190.438,9.4521
2979,187.500,9.3913
2980,183.438,9.2436
2981,178.771,9.0103
2982,172.188,8.6765
2983,166.812,8.4133
2984,159.792,8.1091
2985,154.250,7.8045
2986,147.542,7.3948
2987,141.938,7.0758
2988,135.604,6.7764
2989,130.104,6.4840
2990,124.292,6.3149
2991,117.417,5.9334
2992,113.188,5.6995
2993,108.250,5.4609
