Distance_(pixels),Gray_Value
727,91.2333
728,92.4333
729,93.4083
730,94.1750
731,94.7083
732,95.4750
733,95.8583
734,96.2583
735,96.2083
736,96.2417
737,96.1167
738,95.6500
739,95.3167
740,94.6083
741,93.8333
742,92.7583
743,91.9500
744,90.8083
745,89.3667
746,87.9000
747,85.9417
748,84.0833
749,81.5000
750,78.7000
751,75.7833
752,72.9583
753,70.4833
754,68.2833
755,65.3667
756,63.1500
757,61.0417
758,59.2000
759,57.4167
760,55.6750
761,54.6333
762,53.2500
763,52.4000
764,51.3917
765,50.8333
766,50.0750
767,49.4250
768,49.0083
769,48.9833
770,48.6833
771,48.4833
772,48.1417
773,47.9667
774,48.2750
775,47.9417
776,47.8833
777,48.1083
778,48.0833
779,48.6750
780,48.9917
781,48.9500
782,49.2500
783,50.1000
784,50.4583
785,51.1250
786,51.6750
787,52.3333
788,53.2250
789,54.2583
790,55.3917
791,56.1500
792,57.2583
793,58.3250
794,59.5583
795,60.8667
796,62.2917
797,63.5500
798,65.0583
799,66.5167
800,68.1167
801,70.0000
802,71.7500
803,73.6083
804,75.2917
805,77.4000
806,79.6500
807,81.2833
808,83.2250
809,85.2667
810,87.1333
811,88.3250
812,89.5167
813,91.0000
814,92.0083
815,93.1167
816,93.9250
817,94.7500
818,95.3667
819,95.9167
820,96.1083
821,96.1917
822,96.3667
823,96.5000
824,96.0750
825,95.8500
826,95.3167
827,94.6583
828,93.5583
829,92.9667
830,91.5417
831,90.1333
832,88.4500
833,86.8583
834,84.8167
835,82.3583
836,79.7750
837,76.3000
838,73.2750
839,70.6417
840,67.6000
841,64.7750
842,61.8500
843,58.8917
844,56.6750
845,54.3417
846,51.5750
847,49.5333
848,47.8417
849,46.1000
850,44.6083
851,43.1750
852,41.9000
853,40.6583
854,39.6917
855,38.6583
856,37.5250
857,36.7333
858,36.0083
859,35.1917
860,34.1667
861,33.7083
862,33.0583
863,32.3333
864,31.8000
865,31.2000
866,30.5833
867,30.1667
868,29.7750
869,29.3583
870,28.7000
871,28.6083
872,28.5083
873,28.1750
874,27.8583
875,27.8167
876,27.4917
877,27.4500
878,27.3750
879,27.1083
880,27.0167
881,26.8750
882,26.7333
883,26.4417
884,26.5750
885,26.4917
886,26.4917
887,26.6000
888,26.4917
889,26.5250
890,26.5750
891,26.4500
892,26.7000
893,26.8500
894,26.7167
895,26.9667
896,27.1250
897,27.5250
898,27.4167
899,27.7333
900,28.3417
901,28.5333
902,28.5750
903,29.0583
904,29.5500
905,29.7583
906,30.2000
907,30.6417
908,31.0167
909,31.6250
910,32.2333
911,32.5250
912,32.9917
913,33.8750
914,34.5333
915,35.1917
916,36.0417
917,36.7083
918,37.7167
919,38.7583
920,39.5750
921,40.3417
922,41.5083
923,42.1333
924,43.1333
925,44.1000
926,45.5500
927,46.8000
928,48.0250
929,49.6667
930,51.0250
931,52.3917
932,53.9833
933,55.8250
934,57.3333
935,59.4250
936,61.2167
937,63.2583
938,65.1583
939,66.5083
940,69.1250
941,71.2083
942,73.5083
943,75.7250
944,78.3417
945,80.4333
946,82.9917
947,85.1000
948,86.9167
949,89.0417
950,90.6833
951,92.3917
952,93.6583
953,94.8000
954,96.1500
955,96.9667
956,98.0583
957,98.7667
958,99.1333
959,99.7167
960,100.1917
961,100.0583
962,100.4417
963,99.8333
964,99.8167
965,99.5167
966,99.0583
967,98.3000
968,97.4917
969,97.1417
970,95.1833
971,94.0667
972,92.7417
973,90.7917
974,88.7750
975,86.7000
976,84.4000
977,81.4917
978,78.9000
979,75.6167
980,73.0667
981,70.3167
982,67.7250
983,65.6667
984,63.0417
985,60.9750
986,59.3500
987,57.6667
988,56.1750
989,55.0917
990,54.3583
991,53.4500
992,52.7583
993,51.9500
994,51.4833
995,51.0667
996,50.4833
997,50.3583
998,50.4667
999,50.2167
1000,50.1583
1001,50.1417
1002,50.0333
1003,50.1250
1004,50.1833
1005,50.6333
1006,50.4083
1007,50.8917
1008,51.3167
1009,51.6583
1010,52.1000
1011,52.5083
1012,53.3500
1013,54.1417
1014,54.8750
1015,55.7750
1016,56.6250
1017,57.5500
1018,58.3583
1019,59.6167
1020,60.6667
1021,61.8333
1022,63.2750
1023,64.6750
1024,66.1500
1025,67.6500
1026,69.4500
1027,70.7750
1028,72.7000
1029,74.5250
1030,76.2500
1031,78.2333
1032,80.2083
1033,82.2750
1034,84.3667
1035,86.6917
1036,88.2417
1037,89.7083
1038,91.1000
1039,92.7167
1040,94.2833
1041,95.4583
1042,96.2833
1043,96.8500
1044,97.8500
1045,98.0833
1046,98.9750
1047,99.3583
1048,99.8667
1049,99.7500
1050,99.7833
1051,99.6167
1052,99.3667
1053,98.8250
1054,98.2750
1055,97.5667
1056,96.5500
1057,95.3917
1058,94.0500
1059,92.7583
1060,91.0917
1061,89.1000
1062,87.0500
1063,84.4333
1064,81.3250
1065,77.9917
1066,74.8167
1067,71.3750
1068,68.5250
1069,65.5833
1070,62.7833
1071,60.0917
1072,57.6000
1073,55.0500
1074,52.9167
1075,50.6833
1076,48.6667
1077,47.1167
1078,45.6250
1079,44.0500
1080,42.7750
1081,41.6500
1082,40.6083
1083,39.6083
1084,38.4583
1085,37.5333
1086,36.4000
1087,35.7833
1088,34.9250
1089,34.3667
1090,33.6583
1091,32.8417
1092,32.3000
1093,31.9333
1094,31.1417
1095,30.6167
1096,30.3167
1097,29.9333
1098,29.4417
1099,29.0333
1100,28.7667
1101,28.4000
1102,28.1667
1103,28.1583
1104,28.1083
1105,27.8750
1106,27.6833
1107,27.5583
1108,27.2333
1109,27.1417
1110,27.1583
1111,27.0417
1112,27.0833
1113,26.8167
1114,26.9000
1115,26.7083
1116,26.8000
1117,26.6583
1118,26.8500
1119,26.7417
1120,26.8083
1121,27.0917
1122,27.0083
1123,27.3333
1124,27.4333
1125,27.8417
1126,27.8583
1127,27.9083
1128,28.1083
1129,28.2583
1130,28.5083
1131,28.8917
1132,29.4417
1133,29.7583
1134,30.2167
1135,30.6083
1136,30.8333
1137,31.2583
1138,31.7583
1139,32.1750
1140,32.8833
1141,33.6167
1142,34.0917
1143,34.7333
1144,35.4333
1145,36.3667
1146,37.0833
1147,37.9000
1148,38.7083
1149,39.5750
1150,40.7500
1151,41.4667
1152,42.8583
1153,43.9083
1154,45.2250
1155,46.1583
1156,47.3667
1157,48.8083
1158,50.2250
1159,51.3500
1160,52.6833
1161,54.3917
1162,56.2917
1163,57.9583
1164,60.4500
1165,62.1417
1166,64.0167
1167,65.7667
1168,68.1417
1169,70.4250
1170,72.2250
1171,74.4417
1172,76.5500
1173,79.1833
1174,81.6417
1175,84.1333
1176,86.4167
1177,88.7083
1178,90.4583
1179,91.9250
1180,93.2500
1181,94.8000
1182,95.9750
1183,97.2250
1184,98.2583
1185,99.2500
1186,100.0167
1187,100.4750
1188,100.9667
1189,101.2250
1190,101.3083
1191,101.7917
1192,101.7583
1193,101.3750
1194,101.0583
1195,100.4583
1196,99.8917
1197,99.0000
1198,97.9333
1199,97.5833
1200,95.8000
1201,93.9000
1202,92.6333
1203,90.7833
1204,88.9083
1205,86.5583
1206,84.1167
1207,81.2083
1208,78.1917
1209,75.3083
1210,73.1000
1211,70.1667
1212,67.8083
1213,65.4583
1214,63.6000
1215,61.4417
1216,59.8000
1217,58.2667
1218,56.8583
1219,55.7500
1220,54.3583
1221,53.8000
1222,52.9333
1223,52.4667
1224,51.6667
1225,51.5167
1226,51.1250
1227,50.8833
1228,50.6583
1229,50.4333
1230,50.0417
1231,49.8583
1232,50.0333
1233,50.0417
1234,49.7667
1235,50.0083
1236,50.1667
1237,50.3500
1238,50.8167
1239,51.2500
1240,51.6000
1241,52.1417
1242,52.7583
1243,53.4917
1244,54.5083
1245,55.2250
1246,56.1917
1247,57.2000
1248,58.2167
1249,59.3333
1250,60.1667
1251,61.3917
1252,62.9500
1253,64.3667
1254,65.1083
1255,66.6000
1256,68.3500
1257,70.1083
1258,72.0167
1259,73.6500
1260,75.5167
1261,77.4167
1262,79.5250
1263,81.4833
1264,83.8250
1265,86.0833
1266,88.1750
1267,89.7500
1268,91.1583
1269,92.8000
1270,93.7333
1271,94.5917
1272,95.9000
1273,96.6500
1274,97.5083
1275,97.8750
1276,98.2750
1277,98.8000
1278,99.1500
1279,99.4917
1280,99.1417
1281,99.0583
1282,98.9083
1283,98.7833
1284,98.4250
1285,97.5750
1286,96.5833
1287,95.6167
1288,94.3417
1289,93.1333
1290,91.3583
1291,89.2250
1292,87.6167
1293,85.3000
1294,82.4250
1295,79.2083
1296,76.3000
1297,73.1000
1298,70.2833
1299,67.2250
1300,64.5833
1301,61.8000
1302,59.0917
1303,56.4667
1304,54.1167
1305,52.0250
1306,49.8500
1307,47.8833
1308,46.1833
1309,44.8583
1310,43.3417
1311,42.1417
1312,40.6917
1313,39.7500
1314,38.9167
1315,37.7750
1316,36.7500
1317,35.9667
1318,35.4667
1319,34.5833
1320,33.6917
1321,33.4000
1322,32.6750
1323,31.7417
1324,31.3833
1325,30.6500
1326,30.0750
1327,29.7833
1328,29.4250
1329,28.8917
1330,28.6250
1331,28.2417
1332,27.9750
1333,27.8583
1334,27.6917
1335,27.3750
1336,27.0500
1337,26.9417
1338,26.9417
1339,26.4667
1340,26.5500
1341,26.2917
1342,26.2417
1343,26.4250
1344,26.2000
1345,26.3167
1346,26.1833
1347,26.3000
1348,26.1333
1349,26.1167
1350,26.0083
1351,26.3000
1352,26.5083
1353,26.7417
