Incident energy 	 
Incident energy 	 
Incident energy 	 σ(E)
2140730.0 	 0.1078109
2142880.0 	 0.1084927
2145040.0 	 0.1091777
2147200.0 	 0.1098627
2149360.0 	 0.1105477
2153700.0 	 0.1119241
2155880.0 	 0.1126154
2158050.0 	 0.1133036
2160230.0 	 0.113995
2162420.0 	 0.1146895
2162800.0 	 0.11481
2164610.0 	 0.124935
2166360.0 	 0.1347244
2167670.0 	 0.1420525
2168990.0 	 0.1494365
2170310.0 	 0.1568205
2171630.0 	 0.1642045
2172950.0 	 0.1715885
2174270.0 	 0.1789725
2175590.0 	 0.1863565
2176920.0 	 0.1937964
2178240.0 	 0.2011804
2179300.0 	 0.20711
2179570.0 	 0.2067017
2181340.0 	 0.2040252
2185780.0 	 0.1973111
2188000.0 	 0.193954
2190220.0 	 0.190597
2192450.0 	 0.1872248
2194690.0 	 0.1838376
2194900.0 	 0.18352
2196920.0 	 0.1931091
2200000.0 	 0.20773
2201410.0 	 0.2146875
2203650.0 	 0.2257407
2205900.0 	 0.2368431
2208160.0 	 0.2479949
2210420.0 	 0.2591467
2212200.0 	 0.26793
2212680.0 	 0.285834
2214940.0 	 0.370132
2216600.0 	 0.43205
2217210.0 	 0.4537981
2219030.0 	 0.5186857
2220390.0 	 0.5671732
2223120.0 	 0.6645047
2224400.0 	 0.71014
2224490.0 	 0.7092243
2225860.0 	 0.6952845
2227230.0 	 0.6813448
2228600.0 	 0.667405
2229600.0 	 0.65723
2229970.0 	 0.6347254
2231350.0 	 0.5507892
2232720.0 	 0.4674612
2234100.0 	 0.383525
2235480.0 	 0.2995888
2235600.0 	 0.29229
2236860.0 	 0.2830376
2240080.0 	 0.2593926
2242390.0 	 0.2424299
2247010.0 	 0.2085045
2249330.0 	 0.1914683
2249500.0 	 0.19022
2250000.0 	 0.1928721
2251650.0 	 0.2016241
2253970.0 	 0.2139298
2256300.0 	 0.2262886
2258630.0 	 0.2386474
2259000.0 	 0.24061
2260970.0 	 0.3016759
2263300.0 	 0.373901
2265650.0 	 0.4467461
2267990.0 	 0.5192813
2268600.0 	 0.53819
2270340.0 	 0.6120543
2272700.0 	 0.712238
2275500.0 	 0.8311
2277410.0 	 0.8027341
2279780.0 	 0.7675365
2282150.0 	 0.732339
2283300.0 	 0.71526
2284520.0 	 0.6762945
2286890.0 	 0.6005992
2289270.0 	 0.5245845
2291660.0 	 0.4482504
2292800.0 	 0.41184
2294040.0 	 0.395287
2296430.0 	 0.3633825
2298830.0 	 0.3313444
2301230.0 	 0.2993064
2303630.0 	 0.2672684
2305000.0 	 0.24898
2306030.0 	 0.2493222
2308440.0 	 0.2501228
2310860.0 	 0.2509267
2313270.0 	 0.2517273
2315690.0 	 0.2525312
2318120.0 	 0.2533384
2320550.0 	 0.2541457
2322980.0 	 0.2549529
2325410.0 	 0.2557601
2327850.0 	 0.2565707
2330300.0 	 0.2573846
2331400.0 	 0.25775
2332740.0 	 0.264365
2335190.0 	 0.2764595
2337400.0 	 0.2873693
2339370.0 	 0.2970943
2341340.0 	 0.3068193
2343310.0 	 0.3165443
2345290.0 	 0.3263186
2347260.0 	 0.3360436
2349240.0 	 0.345818
2351220.0 	 0.3555923
2355190.0 	 0.3751904
2356300.0 	 0.38067
2357180.0 	 0.3976022
2359170.0 	 0.4358921
2361170.0 	 0.4743743
2363160.0 	 0.5126642
2365160.0 	 0.5511465
2366670.0 	 0.5802006
2367670.0 	 0.5994417
2368670.0 	 0.6186828
2369670.0 	 0.637924
2370400.0 	 0.65197
2370680.0 	 0.6510925
2371680.0 	 0.6479587
2372680.0 	 0.6448248
2373690.0 	 0.6416596
2374700.0 	 0.6384945
2375700.0 	 0.6353606
2376710.0 	 0.6321954
2376900.0 	 0.6316
2377720.0 	 0.6106388
2378730.0 	 0.5848208
2380750.0 	 0.5331848
2381760.0 	 0.5073668
2383270.0 	 0.4687676
2385300.0 	 0.416876
2387320.0 	 0.3652399
2387800.0 	 0.35297
2389350.0 	 0.3483238
2391390.0 	 0.3422088
2393420.0 	 0.3361238
2395460.0 	 0.3300088
2397500.0 	 0.3238939
2399540.0 	 0.3177789
2400000.0 	 0.3164
2401590.0 	 0.3100345
2402900.0 	 0.30479
2403640.0 	 0.3065374
2405690.0 	 0.3113783
2407740.0 	 0.3162192
2409800.0 	 0.3210837
2411860.0 	 0.3259482
2413920.0 	 0.3308127
2415980.0 	 0.3356772
2418050.0 	 0.3405653
2420120.0 	 0.3454534
2422190.0 	 0.3503415
2424270.0 	 0.3552532
2425700.0 	 0.35863
2426340.0 	 0.3698118
2428420.0 	 0.4061528
2430510.0 	 0.4426684
2432590.0 	 0.4790094
2434680.0 	 0.515525
2436770.0 	 0.5520407
2438860.0 	 0.5885563
2440960.0 	 0.6252467
2441900.0 	 0.64167
2443060.0 	 0.6311027
2445160.0 	 0.6119721
2447260.0 	 0.5928416
2449370.0 	 0.57362
2451480.0 	 0.5543984
2453590.0 	 0.5351768
2455710.0 	 0.5158641
2457830.0 	 0.4965514
2459300.0 	 0.48316
2459950.0 	 0.451958
2462070.0 	 0.3501913
2462500.0 	 0.32955
2466330.0 	 0.3410753
2468460.0 	 0.347485
2470590.0 	 0.3538946
2472730.0 	 0.3603343
2474870.0 	 0.366774
2476600.0 	 0.37198
2477010.0 	 0.3770687
2479160.0 	 0.4037534
2481310.0 	 0.4304381
2483460.0 	 0.4571229
2485300.0 	 0.47996
2485610.0 	 0.4842719
2487230.0 	 0.506805
2488310.0 	 0.521827
2489390.0 	 0.536849
2490470.0 	 0.5518711
2491550.0 	 0.5668931
2492630.0 	 0.5819152
2493720.0 	 0.5970763
2493900.0 	 0.59958
2494800.0 	 0.58662
2495880.0 	 0.571068
2496970.0 	 0.555372
2498050.0 	 0.53982
2499140.0 	 0.524124
2500230.0 	 0.508428
2502400.0 	 0.47718
2503490.0 	 0.461484
2504580.0 	 0.445788
2505940.0 	 0.426204
2506900.0 	 0.41238
2507580.0 	 0.4060688
2509220.0 	 0.3908478
2510860.0 	 0.3756268
2512500.0 	 0.3604058
2514150.0 	 0.345092
2515790.0 	 0.329871
2517440.0 	 0.3145571
2519090.0 	 0.2992433
2520740.0 	 0.2839295
2522940.0 	 0.2635111
2525700.0 	 0.2378952
2528460.0 	 0.2122794
2528600.0 	 0.21098
2531230.0 	 0.2162065
2534000.0 	 0.2217113
2536770.0 	 0.2272161
2539550.0 	 0.2327407
2542340.0 	 0.2382852
2545130.0 	 0.2438298
2547920.0 	 0.2493743
2550000.0 	 0.2535078
2550720.0 	 0.2549386
2551400.0 	 0.25629
2553530.0 	 0.2642592
2556330.0 	 0.2747352
2559150.0 	 0.2852861
2561960.0 	 0.2957995
2564780.0 	 0.3063503
2565400.0 	 0.30867
2567610.0 	 0.2969196
2570440.0 	 0.2818727
2573280.0 	 0.2667726
2576120.0 	 0.2516726
2578400.0 	 0.23955
2578960.0 	 0.2429565
2581810.0 	 0.2602931
2584670.0 	 0.2776905
2587530.0 	 0.2950879
2590390.0 	 0.3124853
2593260.0 	 0.3299435
2596140.0 	 0.3474626
2599000.0 	 0.36486
2599020.0 	 0.364676
2600000.0 	 0.35566
2601900.0 	 0.3394129
2604210.0 	 0.3196599
2605940.0 	 0.3048665
2607680.0 	 0.2899876
2609420.0 	 0.2751087
2611160.0 	 0.2602298
2612900.0 	 0.2453509
2614640.0 	 0.230472
2616390.0 	 0.2155076
2618130.0 	 0.2006287
2619880.0 	 0.1856643
2621630.0 	 0.1706999
2622900.0 	 0.15984
2623390.0 	 0.1624403
2625140.0 	 0.1717269
2626900.0 	 0.1810667
2628650.0 	 0.1903533
2630410.0 	 0.1996931
2632170.0 	 0.2090328
2633400.0 	 0.21556
2633940.0 	 0.2117864
2635700.0 	 0.1994872
2637470.0 	 0.1871182
2639240.0 	 0.1747492
2641000.0 	 0.16245
2641010.0 	 0.1625186
2642780.0 	 0.1746651
2644550.0 	 0.1868116
2646330.0 	 0.1990268
2648100.0 	 0.2111733
2649880.0 	 0.2233884
2651660.0 	 0.2356036
2653440.0 	 0.2478187
2654930.0 	 0.2580437
2656120.0 	 0.26621
2657310.0 	 0.2743763
2658500.0 	 0.2825426
2659700.0 	 0.2907776
2660700.0 	 0.29764
2660890.0 	 0.2976533
2662080.0 	 0.2977369
2663280.0 	 0.2978212
2664480.0 	 0.2979055
2665670.0 	 0.2979891
2666870.0 	 0.2980734
2668070.0 	 0.2981577
2669270.0 	 0.298242
2670770.0 	 0.2983474
2672570.0 	 0.2984738
2672800.0 	 0.29849
2674370.0 	 0.2821228
2676180.0 	 0.2632535
2677990.0 	 0.2443843
2679600.0 	 0.2276
2679790.0 	 0.2287501
2681610.0 	 0.2397671
2683420.0 	 0.2507236
2685230.0 	 0.2616801
2687050.0 	 0.2726971
2688870.0 	 0.2837141
2690690.0 	 0.2947311
2692510.0 	 0.3057481
2694330.0 	 0.3167651
2696160.0 	 0.3278426
2697990.0 	 0.3389202
2699300.0 	 0.34685
2699820.0 	 0.342022
2701650.0 	 0.325031
2703480.0 	 0.3080401
2705310.0 	 0.2910491
2707150.0 	 0.2739653
2708990.0 	 0.2568815
2710830.0 	 0.2397977
2712670.0 	 0.2227139
2713000.0 	 0.21965
2714520.0 	 0.2281669
2716360.0 	 0.2384768
2718210.0 	 0.2488427
2720060.0 	 0.2592086
2721910.0 	 0.2695745
2723770.0 	 0.2799965
2725620.0 	 0.2903624
2727480.0 	 0.3007843
2729340.0 	 0.3112063
2731200.0 	 0.3216282
2733070.0 	 0.3321062
2734930.0 	 0.3425282
2736800.0 	 0.3530062
2738000.0 	 0.35973
2740540.0 	 0.356745
2742410.0 	 0.3545474
2744290.0 	 0.3523381
2745540.0 	 0.3508691
2746160.0 	 0.3501405
2749920.0 	 0.3457218
2750000.0 	 0.3456277
2751800.0 	 0.3435124
2754000.0 	 0.340927
2756520.0 	 0.3379655
2759040.0 	 0.335004
2760000.0 	 0.3338759
2761560.0 	 0.3320426
2764090.0 	 0.3290693
2764600.0 	 0.32847
2766620.0 	 0.3355509
2769150.0 	 0.3444194
2771690.0 	 0.3533231
2774230.0 	 0.3622267
2776770.0 	 0.3711304
2779320.0 	 0.3800691
2780000.0 	 0.3824527
2781870.0 	 0.3890078
2784430.0 	 0.3979815
2786980.0 	 0.4069202
2788800.0 	 0.4133
2789550.0 	 0.4112308
2792110.0 	 0.4041679
2794680.0 	 0.3970775
2797250.0 	 0.3899871
2799830.0 	 0.382869
2800000.0 	 0.3824
2802410.0 	 0.3763862
2804990.0 	 0.3699482
2807580.0 	 0.3634853
2808600.0 	 0.36094
2810170.0 	 0.3698574
2812760.0 	 0.3845684
2815360.0 	 0.3993361
2817960.0 	 0.4141038
2820000.0 	 0.4256908
2820560.0 	 0.4288715
2825780.0 	 0.4585206
2827500.0 	 0.46829
2828400.0 	 0.4842194
2833640.0 	 0.576964
2836260.0 	 0.6233362
2838890.0 	 0.6698855
2841530.0 	 0.7166118
2842700.0 	 0.73732
2844160.0 	 0.7601639
2846810.0 	 0.8016271
2849450.0 	 0.8429338
2850000.0 	 0.8515394
2852100.0 	 0.884397
2854100.0 	 0.91569
2854750.0 	 0.924658
2857410.0 	 0.9613579
2862730.0 	 1.034758
2863900.0 	 1.0509
2865390.0 	 1.023766
2868070.0 	 0.9749607
2870740.0 	 0.9263378
2873080.0 	 0.8837244
2875090.0 	 0.8471206
2876800.0 	 0.81598
2877110.0 	 0.8072354
2879120.0 	 0.7505368
2881140.0 	 0.6935561
2883160.0 	 0.6365754
2885180.0 	 0.5795947
2887200.0 	 0.522614
2888900.0 	 0.47466
2889230.0 	 0.4721085
2891250.0 	 0.4564904
2893280.0 	 0.440795
2895320.0 	 0.4250223
2897350.0 	 0.4093269
2899390.0 	 0.3935542
2900000.0 	 0.3888379
2901430.0 	 0.3777815
2903400.0 	 0.36255
2903470.0 	 0.3625692
2905510.0 	 0.363129
2907550.0 	 0.3636888
2909600.0 	 0.3642514
2911650.0 	 0.364814
2913700.0 	 0.3653765
2915750.0 	 0.3659391
2916300.0 	 0.36609
