time	V(n003)*10	V(n009)*10
3.225000000015759e-06	-2.135392e-22	-2.915241e-07
3.245000000015857e-06	-2.400167e-22	-2.915241e-07
3.265000000015955e-06	-5.824116e-19	-2.915241e-07
3.285000000016053e-06	6.537164e-19	-2.915241e-07
3.305000000016151e-06	-4.475967e-19	-2.915241e-07
3.325000000016249e-06	6.636365e-19	-2.915241e-07
3.345000000016347e-06	-4.493847e-19	-2.915241e-07
3.365000000016445e-06	-9.154584e-22	-2.915241e-07
3.385000000016543e-06	8.394162e-20	-2.915241e-07
3.405000000016641e-06	8.558383e-20	-2.915241e-07
3.425000000016739e-06	1.102847e-19	-2.915241e-07
3.445000000016837e-06	-5.874974e-19	-2.915241e-07
3.465000000016935e-06	6.435580e-19	-2.915241e-07
3.485000000017034e-06	-4.493846e-19	-2.915241e-07
3.505000000017132e-06	-6.637033e-22	-2.915241e-07
3.525000000017230e-06	8.374306e-20	-2.915241e-07
3.545000000017328e-06	8.542501e-20	-2.915241e-07
3.565000000017426e-06	1.102186e-19	-2.915241e-07
3.585000000017524e-06	9.949055e-20	-2.915241e-07
3.605000000017622e-06	-5.496978e-19	-2.915241e-07
3.625000000017720e-06	6.331348e-19	-2.915241e-07
3.645000000017818e-06	-4.634898e-19	-2.915241e-07
3.665000000017916e-06	-5.471336e-21	-2.915241e-07
3.685000000018014e-06	6.211135e-22	-2.915241e-07
3.705000000018112e-06	-1.205624e-22	-2.915241e-07
3.725000000018210e-06	-2.529954e-22	-2.915241e-07
3.745000000018308e-06	-2.264954e-22	-2.915241e-07
3.765000000018406e-06	-2.264842e-22	-2.915241e-07
3.785000000018504e-06	-1.999842e-22	-2.915241e-07
3.805000000018603e-06	-1.999730e-22	-2.915241e-07
3.825000000018701e-06	-2.264507e-22	-2.915241e-07
3.845000000018799e-06	-2.396839e-22	-2.915241e-07
3.865000000018897e-06	-1.999395e-22	-2.915241e-07
3.885000000018995e-06	6.296278e-20	-2.915241e-07
3.905000000019093e-06	7.835270e-20	-2.915241e-07
3.925000000019191e-06	1.097818e-19	-2.915241e-07
