Freq.	V(n018)*10
1.54756499354240e+02	(-4.03216298023499e+01dB,8.87793989947170e+01°)
1.55832915932101e+02	(-4.02614409411977e+01dB,8.87709110225882e+01°)
1.56916819579351e+02	(-4.02012523189752e+01dB,8.87623640534388e+01°)
1.58008262372676e+02	(-4.01410639390090e+01dB,8.87537576777808e+01°)
1.59107296750985e+02	(-4.00808758046720e+01dB,8.87450914832960e+01°)
1.60213975517925e+02	(-4.00206879193840e+01dB,8.87363650548167e+01°)
1.61328351844426e+02	(-3.99605002866122e+01dB,8.87275779743064e+01°)
1.62450479271248e+02	(-3.99003129098719e+01dB,8.87187298208404e+01°)
1.63580411711557e+02	(-3.98401257927275e+01dB,8.87098201705857e+01°)
1.64718203453516e+02	(-3.97799389387924e+01dB,8.87008485967816e+01°)
1.65863909162889e+02	(-3.97197523517305e+01dB,8.86918146697195e+01°)
1.67017583885675e+02	(-3.96595660352566e+01dB,8.86827179567227e+01°)
1.68179283050744e+02	(-3.95993799931367e+01dB,8.86735580221267e+01°)
1.69349062472506e+02	(-3.95391942291893e+01dB,8.86643344272582e+01°)
1.70526978353592e+02	(-3.94790087472860e+01dB,8.86550467304153e+01°)
1.71713087287552e+02	(-3.94188235513520e+01dB,8.86456944868463e+01°)
1.72907446261574e+02	(-3.93586386453668e+01dB,8.86362772487292e+01°)
1.74110112659226e+02	(-3.92984540333653e+01dB,8.86267945651510e+01°)
1.75321144263208e+02	(-3.92382697194384e+01dB,8.86172459820866e+01°)
1.76540599258132e+02	(-3.91780857077336e+01dB,8.86076310423773e+01°)
1.77768536233315e+02	(-3.91179020024559e+01dB,8.85979492857100e+01°)
1.79005014185596e+02	(-3.90577186078689e+01dB,8.85882002485956e+01°)
1.80250092522167e+02	(-3.89975355282950e+01dB,8.85783834643474e+01°)
1.81503831063433e+02	(-3.89373527681167e+01dB,8.85684984630592e+01°)
1.82766290045881e+02	(-3.88771703317772e+01dB,8.85585447715842e+01°)
1.84037530124976e+02	(-3.88169882237813e+01dB,8.85485219135120e+01°)
1.85317612378075e+02	(-3.87568064486962e+01dB,8.85384294091473e+01°)
1.86606598307363e+02	(-3.86966250111526e+01dB,8.85282667754873e+01°)
1.87904549842804e+02	(-3.86364439158452e+01dB,8.85180335261992e+01°)
1.89211529345120e+02	(-3.85762631675337e+01dB,8.85077291715979e+01°)
1.90527599608789e+02	(-3.85160827710438e+01dB,8.84973532186232e+01°)
1.91852823865054e+02	(-3.84559027312683e+01dB,8.84869051708170e+01°)
1.93187265784970e+02	(-3.83957230531674e+01dB,8.84763845283002e+01°)
1.94530989482458e+02	(-3.83355437417703e+01dB,8.84657907877496e+01°)
1.95884059517387e+02	(-3.82753648021756e+01dB,8.84551234423749e+01°)
1.97246540898673e+02	(-3.82151862395528e+01dB,8.84443819818948e+01°)
1.98618499087409e+02	(-3.81550080591428e+01dB,8.84335658925137e+01°)
2.00000000000002e+02	(-3.80948302662590e+01dB,8.84226746568983e+01°)
2.01391110011345e+02	(-3.80346528662885e+01dB,8.84117077541530e+01°)
2.02791895958007e+02	(-3.79744758646930e+01dB,8.84006646597964e+01°)
2.04202425141440e+02	(-3.79142992670097e+01dB,8.83895448457370e+01°)
2.05622765331215e+02	(-3.78541230788524e+01dB,8.83783477802489e+01°)
2.07052984768277e+02	(-3.77939473059126e+01dB,8.83670729279473e+01°)
2.08493152168226e+02	(-3.77337719539606e+01dB,8.83557197497637e+01°)
2.09943336724615e+02	(-3.76735970288466e+01dB,8.83442877029214e+01°)
2.11403608112278e+02	(-3.76134225365016e+01dB,8.83327762409105e+01°)
2.12874036490674e+02	(-3.75532484829385e+01dB,8.83211848134625e+01°)
2.14354692507260e+02	(-3.74930748742538e+01dB,8.83095128665253e+01°)
2.15845647300887e+02	(-3.74329017166277e+01dB,8.82977598422380e+01°)
2.17346972505213e+02	(-3.73727290163264e+01dB,8.82859251789047e+01°)
2.18858740252150e+02	(-3.73125567797023e+01dB,8.82740083109694e+01°)
2.20381023175324e+02	(-3.72523850131959e+01dB,8.82620086689897e+01°)
2.21913894413571e+02	(-3.71922137233365e+01dB,8.82499256796110e+01°)
2.23457427614446e+02	(-3.71320429167438e+01dB,8.82377587655402e+01°)
2.25011696937764e+02	(-3.70718726001287e+01dB,8.82255073455192e+01°)
2.26576777059162e+02	(-3.70117027802951e+01dB,8.82131708342984e+01°)
2.28152743173687e+02	(-3.69515334641408e+01dB,8.82007486426103e+01°)
2.29739670999409e+02	(-3.68913646586586e+01dB,8.81882401771422e+01°)
2.31337636781060e+02	(-3.68311963709381e+01dB,8.81756448405093e+01°)
2.32946717293693e+02	(-3.67710286081669e+01dB,8.81629620312278e+01°)
2.34566989846378e+02	(-3.67108613776315e+01dB,8.81501911436871e+01°)
2.36198532285908e+02	(-3.66506946867191e+01dB,8.81373315681225e+01°)
2.37841423000546e+02	(-3.65905285429189e+01dB,8.81243826905876e+01°)
2.39495740923788e+02	(-3.65303629538235e+01dB,8.81113438929260e+01°)
2.41161565538154e+02	(-3.64701979271299e+01dB,8.80982145527439e+01°)
2.42838976879012e+02	(-3.64100334706417e+01dB,8.80849940433813e+01°)
2.44528055538416e+02	(-3.63498695922698e+01dB,8.80716817338840e+01°)
2.46228882668986e+02	(-3.62897063000342e+01dB,8.80582769889748e+01°)
2.47941539987800e+02	(-3.62295436020657e+01dB,8.80447791690251e+01°)
2.49666109780325e+02	(-3.61693815066070e+01dB,8.80311876300257e+01°)
2.51402674904368e+02	(-3.61092200220144e+01dB,8.80175017235577e+01°)
2.53151318794059e+02	(-3.60490591567593e+01dB,8.80037207967636e+01°)
2.54912125463855e+02	(-3.59888989194298e+01dB,8.79898441923177e+01°)
2.56685179512583e+02	(-3.59287393187325e+01dB,8.79758712483963e+01°)
2.58470566127501e+02	(-3.58685803634937e+01dB,8.79618012986482e+01°)
2.60268371088389e+02	(-3.58084220626613e+01dB,8.79476336721648e+01°)
2.62078680771675e+02	(-3.57482644253062e+01dB,8.79333676934496e+01°)
2.63901582154582e+02	(-3.56881074606245e+01dB,8.79190026823885e+01°)
2.65737162819305e+02	(-3.56279511779386e+01dB,8.79045379542187e+01°)
2.67585510957225e+02	(-3.55677955866991e+01dB,8.78899728194985e+01°)
