Freq.	V(n008)*10
1.29817527504985e+01	(1.35394774401811e+01dB,1.79999419741980e+02°)
1.30817747426020e+01	(1.35394774417851e+01dB,1.79999415271156e+02°)
1.31825673855641e+01	(1.35394774434139e+01dB,1.79999410765884e+02°)
1.32841366171065e+01	(1.35394774450679e+01dB,1.79999406225899e+02°)
1.33864884207000e+01	(1.35394774467474e+01dB,1.79999401650933e+02°)
1.34896288259166e+01	(1.35394774484530e+01dB,1.79999397040717e+02°)
1.35935639087853e+01	(1.35394774501849e+01dB,1.79999392394979e+02°)
1.36982997921497e+01	(1.35394774519437e+01dB,1.79999387713445e+02°)
1.38038426460289e+01	(1.35394774537296e+01dB,1.79999382995839e+02°)
1.39101986879806e+01	(1.35394774555432e+01dB,1.79999378241884e+02°)
1.40173741834677e+01	(1.35394774573848e+01dB,1.79999373451300e+02°)
1.41253754462276e+01	(1.35394774592549e+01dB,1.79999368623804e+02°)
1.42342088386435e+01	(1.35394774611539e+01dB,1.79999363759111e+02°)
1.43438807721197e+01	(1.35394774630823e+01dB,1.79999358856936e+02°)
1.44543977074593e+01	(1.35394774650406e+01dB,1.79999353916989e+02°)
1.45657661552446e+01	(1.35394774670291e+01dB,1.79999348938979e+02°)
1.46779926762207e+01	(1.35394774690484e+01dB,1.79999343922613e+02°)
1.47910838816821e+01	(1.35394774710989e+01dB,1.79999338867596e+02°)
1.49050464338620e+01	(1.35394774731811e+01dB,1.79999333773629e+02°)
1.50198870463249e+01	(1.35394774752956e+01dB,1.79999328640413e+02°)
1.51356124843621e+01	(1.35394774774427e+01dB,1.79999323467644e+02°)
1.52522295653902e+01	(1.35394774796231e+01dB,1.79999318255019e+02°)
1.53697451593528e+01	(1.35394774818372e+01dB,1.79999313002230e+02°)
1.54881661891249e+01	(1.35394774840855e+01dB,1.79999307708967e+02°)
1.56074996309212e+01	(1.35394774863686e+01dB,1.79999302374919e+02°)
1.57277525147067e+01	(1.35394774886871e+01dB,1.79999296999772e+02°)
1.58489319246112e+01	(1.35394774910414e+01dB,1.79999291583208e+02°)
1.59710449993461e+01	(1.35394774934321e+01dB,1.79999286124909e+02°)
1.60940989326254e+01	(1.35394774958598e+01dB,1.79999280624553e+02°)
1.62181009735894e+01	(1.35394774983250e+01dB,1.79999275081815e+02°)
1.63430584272314e+01	(1.35394775008284e+01dB,1.79999269496370e+02°)
1.64689786548288e+01	(1.35394775033705e+01dB,1.79999263867889e+02°)
1.65958690743757e+01	(1.35394775059519e+01dB,1.79999258196038e+02°)
1.67237371610209e+01	(1.35394775085733e+01dB,1.79999252480486e+02°)
1.68525904475076e+01	(1.35394775112352e+01dB,1.79999246720893e+02°)
1.69824365246175e+01	(1.35394775139383e+01dB,1.79999240916922e+02°)
1.71132830416179e+01	(1.35394775166831e+01dB,1.79999235068230e+02°)
1.72451377067121e+01	(1.35394775194705e+01dB,1.79999229174473e+02°)
1.73780082874938e+01	(1.35394775223009e+01dB,1.79999223235304e+02°)
1.75119026114047e+01	(1.35394775251752e+01dB,1.79999217250371e+02°)
1.76468285661951e+01	(1.35394775280939e+01dB,1.79999211219324e+02°)
1.77827941003893e+01	(1.35394775310577e+01dB,1.79999205141806e+02°)
1.79198072237534e+01	(1.35394775340674e+01dB,1.79999199017459e+02°)
1.80578760077673e+01	(1.35394775371237e+01dB,1.79999192845922e+02°)
1.81970085860999e+01	(1.35394775402272e+01dB,1.79999186626833e+02°)
1.83372131550889e+01	(1.35394775433787e+01dB,1.79999180359823e+02°)
1.84784979742230e+01	(1.35394775465790e+01dB,1.79999174044525e+02°)
1.86208713666288e+01	(1.35394775498287e+01dB,1.79999167680566e+02°)
1.87643417195610e+01	(1.35394775531288e+01dB,1.79999161267570e+02°)
1.89089174848965e+01	(1.35394775564799e+01dB,1.79999154805161e+02°)
1.90546071796326e+01	(1.35394775598828e+01dB,1.79999148292957e+02°)
1.92014193863881e+01	(1.35394775633383e+01dB,1.79999141730574e+02°)
1.93493627539096e+01	(1.35394775668473e+01dB,1.79999135117627e+02°)
1.94984459975806e+01	(1.35394775704106e+01dB,1.79999128453724e+02°)
1.96486778999348e+01	(1.35394775740290e+01dB,1.79999121738474e+02°)
1.98000673111740e+01	(1.35394775777034e+01dB,1.79999114971481e+02°)
1.99526231496889e+01	(1.35394775814346e+01dB,1.79999108152346e+02°)
2.01063544025850e+01	(1.35394775852235e+01dB,1.79999101280667e+02°)
2.02612701262116e+01	(1.35394775890710e+01dB,1.79999094356039e+02°)
2.04173794466954e+01	(1.35394775929780e+01dB,1.79999087378055e+02°)
2.05746915604785e+01	(1.35394775969455e+01dB,1.79999080346303e+02°)
2.07332157348597e+01	(1.35394776009743e+01dB,1.79999073260368e+02°)
2.08929613085405e+01	(1.35394776050655e+01dB,1.79999066119834e+02°)
2.10539376921756e+01	(1.35394776092199e+01dB,1.79999058924279e+02°)
2.12161543689270e+01	(1.35394776134386e+01dB,1.79999051673279e+02°)
2.13796208950225e+01	(1.35394776177225e+01dB,1.79999044366407e+02°)
