time	V(n003)*10
1.179867012456852e-04	1.978023e+00
1.180067012456850e-04	1.978032e+00
1.180267012456849e-04	1.978041e+00
1.180467012456848e-04	1.978050e+00
1.180667012456847e-04	1.978059e+00
1.180867012456846e-04	1.978067e+00
1.181067012456844e-04	1.978077e+00
1.181267012456843e-04	1.978085e+00
1.181467012456842e-04	1.978094e+00
1.181667012456841e-04	1.978103e+00
1.181867012456840e-04	1.978112e+00
1.182067012456838e-04	1.978121e+00
1.182267012456837e-04	1.978130e+00
1.182467012456836e-04	1.978139e+00
1.182667012456835e-04	1.978148e+00
1.182867012456834e-04	1.978157e+00
1.183067012456833e-04	1.978166e+00
1.183267012456831e-04	1.978175e+00
1.183467012456830e-04	1.978184e+00
1.183667012456829e-04	1.978192e+00
1.183867012456828e-04	1.978201e+00
1.184067012456827e-04	1.978210e+00
1.184267012456825e-04	1.978219e+00
1.184467012456824e-04	1.978228e+00
1.184667012456823e-04	1.978237e+00
1.184867012456822e-04	1.978246e+00
1.185067012456821e-04	1.978255e+00
1.185267012456819e-04	1.978264e+00
1.185467012456818e-04	1.978272e+00
1.185667012456817e-04	1.978281e+00
1.185867012456816e-04	1.978290e+00
1.186067012456815e-04	1.978299e+00
1.186267012456814e-04	1.978308e+00
1.186467012456812e-04	1.978317e+00
1.186667012456811e-04	1.978326e+00
1.186867012456810e-04	1.978334e+00
1.187067012456809e-04	1.978343e+00
1.187267012456808e-04	1.978352e+00
1.187467012456806e-04	1.978361e+00
1.187667012456805e-04	1.978370e+00
1.187867012456804e-04	1.978379e+00
1.188067012456803e-04	1.978387e+00
1.188267012456802e-04	1.978396e+00
1.188467012456800e-04	1.978405e+00
1.188667012456799e-04	1.978414e+00
1.188867012456798e-04	1.978423e+00
1.189067012456797e-04	1.978431e+00
1.189267012456796e-04	1.978440e+00
1.189467012456795e-04	1.978449e+00
1.189667012456793e-04	1.978458e+00
1.189867012456792e-04	1.978467e+00
1.190067012456791e-04	1.978475e+00
1.190267012456790e-04	1.978484e+00
1.190467012456789e-04	1.978493e+00
1.190667012456787e-04	1.978502e+00
1.190867012456786e-04	1.978510e+00
1.191067012456785e-04	1.978519e+00
1.191267012456784e-04	1.978528e+00
1.191467012456783e-04	1.978537e+00
1.191667012456781e-04	1.978545e+00
1.191867012456780e-04	1.978554e+00
1.192067012456779e-04	1.978563e+00
1.192267012456778e-04	1.978572e+00
1.192467012456777e-04	1.978581e+00
1.192667012456776e-04	1.978589e+00
1.192867012456774e-04	1.978598e+00
1.193067012456773e-04	1.978607e+00
1.193267012456772e-04	1.978615e+00
1.193467012456771e-04	1.978624e+00
1.193667012456770e-04	1.978633e+00
1.193867012456768e-04	1.978642e+00
1.194067012456767e-04	1.978650e+00
1.194267012456766e-04	1.978659e+00
1.194467012456765e-04	1.978668e+00
1.194667012456764e-04	1.978676e+00
1.194867012456762e-04	1.978685e+00
1.195067012456761e-04	1.978694e+00
1.195267012456760e-04	1.978702e+00
1.195467012456759e-04	1.978711e+00
1.195667012456758e-04	1.978720e+00
1.195867012456757e-04	1.978728e+00
1.196067012456755e-04	1.978737e+00
1.196267012456754e-04	1.978746e+00
1.196467012456753e-04	1.978754e+00
1.196667012456752e-04	1.978763e+00
1.196867012456751e-04	1.978772e+00
1.197067012456749e-04	1.978780e+00
1.197267012456748e-04	1.978789e+00
1.197467012456747e-04	1.978798e+00
1.197667012456746e-04	1.978806e+00
1.197867012456745e-04	1.978815e+00
1.198067012456743e-04	1.978824e+00
1.198267012456742e-04	1.978832e+00
1.198467012456741e-04	1.978841e+00
1.198667012456740e-04	1.978849e+00
1.198867012456739e-04	1.978858e+00
1.199067012456738e-04	1.978867e+00
1.199267012456736e-04	1.978875e+00
1.199467012456735e-04	1.978884e+00
1.199667012456734e-04	1.978892e+00
1.199867012456733e-04	1.978901e+00
1.200067012456732e-04	1.978910e+00
1.200267012456730e-04	1.978918e+00
1.200467012456729e-04	1.978927e+00
1.200667012456728e-04	1.978935e+00
1.200867012456727e-04	1.978944e+00
1.201067012456726e-04	1.978953e+00
1.201267012456724e-04	1.978961e+00
1.201467012456723e-04	1.978970e+00
1.201667012456722e-04	1.978978e+00
1.201867012456721e-04	1.978987e+00
1.202067012456720e-04	1.978995e+00
1.202267012456719e-04	1.979004e+00
1.202467012456717e-04	1.979012e+00
1.202667012456716e-04	1.979021e+00
1.202867012456715e-04	1.979029e+00
1.203067012456714e-04	1.979038e+00
1.203267012456713e-04	1.979047e+00
1.203467012456711e-04	1.979055e+00
1.203667012456710e-04	1.979064e+00
1.203867012456709e-04	1.979072e+00
1.204067012456708e-04	1.979081e+00
1.204267012456707e-04	1.979089e+00
1.204467012456705e-04	1.979098e+00
1.204667012456704e-04	1.979106e+00
1.204867012456703e-04	1.979115e+00
1.205067012456702e-04	1.979123e+00
1.205267012456701e-04	1.979132e+00
1.205467012456700e-04	1.979140e+00
1.205667012456698e-04	1.979149e+00
1.205867012456697e-04	1.979157e+00
1.206067012456696e-04	1.979166e+00
1.206267012456695e-04	1.979174e+00
1.206467012456694e-04	1.979183e+00
1.206667012456692e-04	1.979191e+00
1.206867012456691e-04	1.979199e+00
1.207067012456690e-04	1.979208e+00
1.207267012456689e-04	1.979216e+00
1.207467012456688e-04	1.979225e+00
1.207667012456686e-04	1.979233e+00
1.207867012456685e-04	1.979242e+00
1.208067012456684e-04	1.979250e+00
1.208267012456683e-04	1.979259e+00
1.208467012456682e-04	1.979267e+00
1.208667012456681e-04	1.979276e+00
1.208867012456679e-04	1.979284e+00
1.209067012456678e-04	1.979292e+00
1.209267012456677e-04	1.979301e+00
1.209467012456676e-04	1.979309e+00
1.209667012456675e-04	1.979318e+00
1.209867012456673e-04	1.979326e+00
1.210067012456672e-04	1.979335e+00
1.210267012456671e-04	1.979343e+00
1.210467012456670e-04	1.979351e+00
1.210667012456669e-04	1.979360e+00
1.210867012456667e-04	1.979368e+00
1.211067012456666e-04	1.979377e+00
1.211267012456665e-04	1.979385e+00
1.211467012456664e-04	1.979393e+00
1.211667012456663e-04	1.979402e+00
1.211867012456662e-04	1.979410e+00
1.212067012456660e-04	1.979418e+00
1.212267012456659e-04	1.979427e+00
1.212467012456658e-04	1.979435e+00
1.212667012456657e-04	1.979444e+00
1.212867012456656e-04	1.979452e+00
1.213067012456654e-04	1.979460e+00
1.213267012456653e-04	1.979469e+00
1.213467012456652e-04	1.979477e+00
1.213667012456651e-04	1.979485e+00
1.213867012456650e-04	1.979494e+00
1.214067012456648e-04	1.979502e+00
1.214267012456647e-04	1.979510e+00
1.214467012456646e-04	1.979519e+00
1.214667012456645e-04	1.979527e+00
1.214867012456644e-04	1.979535e+00
1.215067012456643e-04	1.979544e+00
1.215267012456641e-04	1.979552e+00
1.215467012456640e-04	1.979560e+00
1.215667012456639e-04	1.979568e+00
1.215867012456638e-04	1.979577e+00
1.216067012456637e-04	1.979585e+00
1.216267012456635e-04	1.979593e+00
1.216467012456634e-04	1.979602e+00
1.216667012456633e-04	1.979610e+00
1.216867012456632e-04	1.979618e+00
1.217067012456631e-04	1.979627e+00
1.217267012456629e-04	1.979635e+00
1.217467012456628e-04	1.979643e+00
1.217667012456627e-04	1.979651e+00
1.217867012456626e-04	1.979660e+00
1.218067012456625e-04	1.979668e+00
1.218267012456623e-04	1.979676e+00
1.218467012456622e-04	1.979685e+00
1.218667012456621e-04	1.979693e+00
1.218867012456620e-04	1.979701e+00
1.219067012456619e-04	1.979709e+00
1.219267012456618e-04	1.979717e+00
1.219467012456616e-04	1.979726e+00
1.219667012456615e-04	1.979734e+00
1.219867012456614e-04	1.979742e+00
1.220067012456613e-04	1.979750e+00
1.220267012456612e-04	1.979759e+00
1.220467012456610e-04	1.979767e+00
1.220667012456609e-04	1.979775e+00
1.220867012456608e-04	1.979783e+00
1.221067012456607e-04	1.979792e+00
1.221267012456606e-04	1.979800e+00
1.221467012456604e-04	1.979808e+00
1.221667012456603e-04	1.979816e+00
1.221867012456602e-04	1.979824e+00
1.222067012456601e-04	1.979833e+00
1.222267012456600e-04	1.979841e+00
1.222467012456599e-04	1.979849e+00
1.222667012456597e-04	1.979857e+00
1.222867012456596e-04	1.979865e+00
1.223067012456595e-04	1.979873e+00
1.223267012456594e-04	1.979882e+00
1.223467012456593e-04	1.979890e+00
1.223667012456591e-04	1.979898e+00
1.223867012456590e-04	1.979906e+00
1.224067012456589e-04	1.979914e+00
1.224267012456588e-04	1.979922e+00
1.224467012456587e-04	1.979931e+00
1.224667012456585e-04	1.979939e+00
1.224867012456584e-04	1.979947e+00
1.225067012456583e-04	1.979955e+00
1.225267012456582e-04	1.979963e+00
1.225467012456581e-04	1.979971e+00
1.225667012456580e-04	1.979979e+00
1.225867012456578e-04	1.979988e+00
1.226067012456577e-04	1.979996e+00
1.226267012456576e-04	1.980004e+00
1.226467012456575e-04	1.980012e+00
1.226667012456574e-04	1.980020e+00
1.226867012456572e-04	1.980028e+00
1.227067012456571e-04	1.980036e+00
1.227267012456570e-04	1.980044e+00
1.227467012456569e-04	1.980052e+00
1.227667012456568e-04	1.980060e+00
1.227867012456566e-04	1.980069e+00
1.228067012456565e-04	1.980077e+00
1.228267012456564e-04	1.980085e+00
1.228467012456563e-04	1.980093e+00
1.228667012456562e-04	1.980101e+00
1.228867012456561e-04	1.980109e+00
1.229067012456559e-04	1.980117e+00
1.229267012456558e-04	1.980125e+00
1.229467012456557e-04	1.980133e+00
1.229667012456556e-04	1.980141e+00
1.229867012456555e-04	1.980149e+00
1.230067012456553e-04	1.980157e+00
1.230267012456552e-04	1.980166e+00
1.230467012456551e-04	1.980174e+00
1.230667012456550e-04	1.980182e+00
1.230867012456549e-04	1.980190e+00
1.231067012456547e-04	1.980198e+00
