ts_ext,pixels,multiplicity,vertical_dimension,horizontal_dimension,ratio_x_y,ratio_x_y_bin,density
27203314,"[(109, 329)]",1,1,1,1.0,1.0,1.0
27207537,"[(121, 160)]",1,1,1,1.0,1.0,1.0
27211832,"[(286, 307)]",1,1,1,1.0,1.0,1.0
27219800,"[(414, 438)]",1,1,1,1.0,1.0,1.0
27366112,"[(187, 285)]",1,1,1,1.0,1.0,1.0
27374380,"[(351, 307)]",1,1,1,1.0,1.0,1.0
27386553,"[(287, 324)]",1,1,1,1.0,1.0,1.0
27386556,"[(109, 329)]",1,1,1,1.0,1.0,1.0
27386602,"[(109, 329)]",1,1,1,1.0,1.0,1.0
27398606,"[(36, 104)]",1,1,1,1.0,1.0,1.0
27398848,"[(157, 49)]",1,1,1,1.0,1.0,1.0
27411400,"[(64, 388)]",1,1,1,1.0,1.0,1.0
27411554,"[(7, 415), (7, 416), (7, 415)]",3,1,2,2.0,2.0,1.0
27418560,"[(306, 98)]",1,1,1,1.0,1.0,1.0
27528921,"[(79, 89)]",1,1,1,1.0,1.0,1.0
27529177,"[(157, 98)]",1,1,1,1.0,1.0,1.0
27549358,"[(358, 305)]",1,1,1,1.0,1.0,1.0
27553779,"[(307, 169)]",1,1,1,1.0,1.0,1.0
27561880,"[(66, 196)]",1,1,1,1.0,1.0,1.0
27565670,"[(221, 229)]",1,1,1,1.0,1.0,1.0
27598379,"[(301, 17)]",1,1,1,1.0,1.0,1.0
27598451,"[(161, 1)]",1,1,1,1.0,1.0,1.0
27736822,"[(294, 137)]",1,1,1,1.0,1.0,1.0
27745200,"[(189, 87)]",1,1,1,1.0,1.0,1.0
27761248,"[(413, 407)]",1,1,1,1.0,1.0,1.0
27761304,"[(248, 392)]",1,1,1,1.0,1.0,1.0
27761552,"[(129, 279)]",1,1,1,1.0,1.0,1.0
27769744,"[(182, 306)]",1,1,1,1.0,1.0,1.0
27769785,"[(182, 305)]",1,1,1,1.0,1.0,1.0
27778065,"[(16, 413)]",1,1,1,1.0,1.0,1.0
27782206,"[(289, 191)]",1,1,1,1.0,1.0,1.0
27782216,"[(253, 164)]",1,1,1,1.0,1.0,1.0
27794435,"[(154, 374)]",1,1,1,1.0,1.0,1.0
27806501,"[(181, 17)]",1,1,1,1.0,1.0,1.0
27953313,"[(270, 236)]",1,1,1,1.0,1.0,1.0
27957127,"[(344, 231)]",1,1,1,1.0,1.0,1.0
27961753,"[(369, 142), (368, 142)]",2,2,1,0.5,0.5,1.0
27961765,"[(375, 162)]",1,1,1,1.0,1.0,1.0
27965036,"[(408, 109)]",1,1,1,1.0,1.0,1.0
27965524,"[(169, 205)]",1,1,1,1.0,1.0,1.0
27966085,"[(25, 437), (25, 438)]",2,1,2,2.0,2.0,1.0
27973156,"[(397, 10)]",1,1,1,1.0,1.0,1.0
27981953,"[(170, 154)]",1,1,1,1.0,1.0,1.0
27982474,"[(65, 404), (65, 403)]",2,1,2,2.0,2.0,1.0
28128320,"[(274, 126)]",1,1,1,1.0,1.0,1.0
28128564,"[(104, 22)]",1,1,1,1.0,1.0,1.0
28137104,"[(38, 51)]",1,1,1,1.0,1.0,1.0
28140100,"[(5, 83)]",1,1,1,1.0,1.0,1.0
28140657,"[(30, 464)]",1,1,1,1.0,1.0,1.0
28148870,"[(165, 400)]",1,1,1,1.0,1.0,1.0
28152837,"[(329, 296)]",1,1,1,1.0,1.0,1.0
28156781,"[(60, 164)]",1,1,1,1.0,1.0,1.0
28165735,"[(386, 439)]",1,1,1,1.0,1.0,1.0
28165779,"[(382, 396)]",1,1,1,1.0,1.0,1.0
28169506,"[(271, 271)]",1,1,1,1.0,1.0,1.0
28169714,"[(109, 329)]",1,1,1,1.0,1.0,1.0
28189740,"[(130, 20)]",1,1,1,1.0,1.0,1.0
28198361,"[(302, 212)]",1,1,1,1.0,1.0,1.0
28206423,"[(361, 67)]",1,1,1,1.0,1.0,1.0
28344441,"[(27, 256), (27, 255), (27, 256)]",3,1,2,2.0,2.0,1.0
28344687,"[(81, 206)]",1,1,1,1.0,1.0,1.0
28348304,"[(311, 189)]",1,1,1,1.0,1.0,1.0
28348852,"[(162, 379)]",1,1,1,1.0,1.0,1.0
28349308,"[(306, 98)]",1,1,1,1.0,1.0,1.0
28365178,"[(74, 204)]",1,1,1,1.0,1.0,1.0
28373445,"[(233, 256)]",1,1,1,1.0,1.0,1.0
28373674,"[(120, 375)]",1,1,1,1.0,1.0,1.0
